#TYPE System.Management.Automation.PSCustomObject
"quality","level","species"
"RARE","10","White Kitten"
"UNCOMMON","1","Blue Dragonhawk Hatchling"
"UNCOMMON","1","Westfall Chicken"
"UNCOMMON","1","White Moth"
"UNCOMMON","1","Siamese Cat"
"UNCOMMON","1","Clockwork Rocket Bot"
"UNCOMMON","1","Egbert"
"UNCOMMON","1","Jubling"
"UNCOMMON","1","Peddlefeet"
"UNCOMMON","1","Mr. Wiggles"
"RARE","1","Netherwhelp"
"UNCOMMON","1","Willy"
"UNCOMMON","1","Father Winter's Helper"
"RARE","11","Spirit of Summer"
"UNCOMMON","1","Winter Reindeer"
"UNCOMMON","1","Smolderweb Hatchling"
"UNCOMMON","1","Snowshoe Rabbit"
"UNCOMMON","1","Wolpertinger"
"UNCOMMON","1","Cornish Rex Cat"
"RARE","10","Mechanical Squirrel"
"UNCOMMON","1","Silver Tabby Cat"
"UNCOMMON","1","Bombay Cat"
"UNCOMMON","1","Brown Prairie Dog"
"UNCOMMON","1","Great Horned Owl"
"UNCOMMON","1","Undercity Cockroach"
"UNCOMMON","1","Mechanical Chicken"
"UNCOMMON","1","Brown Rabbit"
"UNCOMMON","1","Crimson Snake"
"UNCOMMON","1","Mana Wyrmling"
"UNCOMMON","1","Miniwing"
"UNCOMMON","1","Senegal"
"UNCOMMON","1","Green Wing Macaw"
"UNCOMMON","1","Yellow Moth"
"UNCOMMON","1","Red Moth"
"RARE","10","Orange Tabby Cat"
"UNCOMMON","1","Blue Moth"
"RARE","10","Worg Pup"
"UNCOMMON","1","Brown Snake"
"UNCOMMON","1","Silver Dragonhawk Hatchling"
"UNCOMMON","1","Tree Frog"
"UNCOMMON","1","Ancona Chicken"
"RARE","10","Tranquil Mechanical Yeti"
"RARE","25","Frosty"
"UNCOMMON","1","Red Dragonhawk Hatchling"
"UNCOMMON","1","Black Kingsnake"
"RARE","25","Stinker"
"RARE","25","Magical Crawdad"
"UNCOMMON","1","Hawk Owl"
"UNCOMMON","1","Cobra Hatchling"
"UNCOMMON","1","Golden Dragonhawk Hatchling"
"UNCOMMON","1","Ghostly Skull"
"UNCOMMON","1","Tickbird Hatchling"
"UNCOMMON","1","Spring Rabbit"
"RARE","1","Sinister Squashling"
"RARE","10","Snarly"
"UNCOMMON","1","Speedy"
"RARE","1","Kirin Tor Familiar"
"RARE","1","Muckbreath"
"RARE","25","Little Fawn"
"RARE","1","Strand Crawler"
"UNCOMMON","1","Baby Blizzard Bear"
"RARE","10","Pengu"
"UNCOMMON","1","Wood Frog"
"RARE","1","Giant Sewer Rat"
"UNCOMMON","1","White Tickbird Hatchling"
"UNCOMMON","1","Peanut"
"RARE","10","Lil' K.T."
"RARE","1","Curious Oracle Hatchling"
"UNCOMMON","1","Mr. Chilly"
"UNCOMMON","1","Pet Bombling"
"RARE","25","Phoenix Hatchling"
"RARE","10","Onyxian Whelpling"
"UNCOMMON","1","Argent Squire"
"UNCOMMON","1","Warbot"
"UNCOMMON","1","Obsidian Hatchling"
"UNCOMMON","1","Alliance Balloon"
"UNCOMMON","1","Snowshoe Rabbit"
"UNCOMMON","1","Perky Pug"
"UNCOMMON","1","Mechanical Squirrel"
"UNCOMMON","1","Clockwork Rocket Bot"
"UNCOMMON","1","Orange Tabby Cat"
"RARE","1","Lucky Quilen Cub"
"UNCOMMON","1","Bombay Cat"
"RARE","10","Core Hound Pup"
"UNCOMMON","1","Silver Tabby Cat"
"UNCOMMON","1","Westfall Chicken"
"UNCOMMON","1","Clockwork Rocket Bot"
"RARE","1","Sprite Darter Hatchling"
"UNCOMMON","1","Bombay Cat"
"RARE","25","Pandaren Monk"
"UNCOMMON","1","Winter's Little Helper"
"UNCOMMON","1","Mechanical Squirrel"
"UNCOMMON","1","Mr. Wiggles"
"RARE","1","Sinister Squashling"
"UNCOMMON","1","Green Wing Macaw"
"UNCOMMON","1","Ancona Chicken"
"UNCOMMON","1","Siamese Cat"
"UNCOMMON","1","Winter Reindeer"
"UNCOMMON","1","White Kitten"
"UNCOMMON","1","Clockwork Rocket Bot"
"UNCOMMON","1","Senegal"
"UNCOMMON","1","Senegal"
"UNCOMMON","1","Smolderweb Hatchling"
"UNCOMMON","1","Orange Tabby Cat"
"UNCOMMON","1","Silver Tabby Cat"
"UNCOMMON","1","Mechanical Squirrel"
"UNCOMMON","1","Cornish Rex Cat"
"UNCOMMON","1","Bombay Cat"
"UNCOMMON","1","Undercity Cockroach"
"UNCOMMON","1","Gold Mini Jouster"
"UNCOMMON","1","Bombay Cat"
"UNCOMMON","1","Cockatiel"
"UNCOMMON","1","Tickbird Hatchling"
"UNCOMMON","1","Crimson Snake"
