#TYPE System.Management.Automation.PSCustomObject
"standing","faction","total"
"Honored","Booty Bay","4200/12000"
"Revered","Ironforge","5810/21000"
"Honored","Gnomeregan","11466/12000"
"Neutral","Thorium Brotherhood","1750/3000"
"Friendly","Darnassus","5999/6000"
"Exalted","Stormwind","0/0"
"Hated","Bloodsail Buccaneers","23875/36000"
"Friendly","Gelkis Clan Centaur","250/6000"
"Hostile","Magram Clan Centaur","2500/3000"
"Neutral","Zandalar Tribe","0/3000"
"Honored","Gadgetzan","2700/12000"
"Honored","Ratchet","312/12000"
"Neutral","The League of Arathor","0/3000"
"Friendly","Argent Dawn","5534/6000"
"Friendly","Timbermaw Hold","260/6000"
"Honored","Everlook","250/12000"
"Friendly","Cenarion Circle","2850/6000"
"Honored","Stormpike Guard","3272/12000"
"Friendly","Hydraxian Waterlords","1855/6000"
"Friendly","Darkmoon Faire","1357/6000"
"Hated","Brood of Nozdormu","2400/36000"
"Revered","Exodar","3126/21000"
"Neutral","The Consortium","0/3000"
"Neutral","The Scryers","0/3000"
"Friendly","The Sha'tar","1695/6000"
"Revered","Cenarion Expedition","3574/21000"
"Honored","Honor Hold","1349/12000"
"Honored","Sporeggar","11170/12000"
"Neutral","Kurenai","2800/3000"
"Neutral","Keepers of Time","0/3000"
"Honored","Lower City","2150/12000"
"Exalted","Alliance Vanguard","0/0"
"Exalted","Valiance Expedition","0/0"
"Exalted","Explorers' League","0/0"
"Honored","The Kalu'ak","4290/12000"
"Neutral","Shattered Sun Offensive","600/3000"
"Exalted","Kirin Tor","0/0"
"Neutral","The Wyrmrest Accord","2606/3000"
"Exalted","The Silver Covenant","0/0"
"Hated","Frenzyheart Tribe","28873/36000"
"Honored","The Oracles","1101/12000"
"Neutral","Argent Crusade","97/3000"
"Exalted","The Sons of Hodir","0/0"
"Exalted","The Frostborn","0/0"
"Revered","Gilneas","16836/21000"
"Friendly","The Earthen Ring","4288/6000"
"Neutral","The Ashen Verdict","225/3000"
"Honored","Guardians of Hyjal","3622/12000"
"Exalted","Guild","0/0"
"Neutral","Ramkahen","1100/3000"
"Neutral","Baradin's Wardens","1925/3000"
"Neutral","Golden Lotus","2730/3000"
"Neutral","Shado-Pan","1100/3000"
"Neutral","The Tillers","0/3000"
"Neutral","The Anglers","0/3000"
"Neutral","The Klaxxi","0/3000"
"Neutral","The August Celestials","0/3000"
"Friendly","Tushui Pandaren","5999/6000"
"Stranger","Nat Pagle","0/8400"
"Neutral","The Black Prince","2827/3000"
"Honored","Shado-Pan Assault","5219/12000"
"Neutral","Emperor Shaohao","825/3000"
"Neutral","Arakkoa Outcasts","0/3000"
"Friendly","Council of Exarchs","5835/6000"
"Honored","Highmountain Tribe","5613/12000"
"Friendly","Hand of the Prophet","2450/6000"
"Neutral","Order of the Awakened","1500/3000"
"Neutral","The Saberstalkers","0/3000"
"Friendly","The Nightfallen","1075/6000"
"Friendly","Dreamweavers","5442/6000"
"Neutral","The Wardens","1517/3000"
"Friendly","Court of Farondis","2735/6000"
"Friendly","Valarjar","2290/6000"
"Revered","Armies of Legionfall","2011/21000"
"Whelpling","Chromie","0/1000"
"Revered","7th Legion","17913/21000"
"Exalted","Proudmoore Admiralty","0/0"
"Revered","Order of Embers","7022/21000"
"Revered","Storm's Wake","18075/21000"
"Revered","Tortollan Seekers","7947/21000"
"Revered","Champions of Azeroth","6665/21000"
"Friendly","Army of the Light","3277/6000"
"Neutral","Argussian Reach","1006/3000"
"Honored","Rustbolt Resistance","3021/12000"
"Honored","Waveblade Ankoan","5712/12000"
"Neutral","Rajani","2650/3000"
"Friendly","Uldum Accord","400/6000"
